wavelength	irradiance
758.3423	0.0019
758.8147	0.0018
759.2869	0.002
759.7591	0.0019
760.2311	0.0019
760.703	0.0019
761.1748	0.0019
761.6464	0.0019
762.118	0.0018
762.5894	0.0019
763.0606	0.0018
763.5318	0.0018
764.0028	0.0017
764.4737	0.0017
764.9445	0.0017
765.4152	0.0018
765.8857	0.0016
766.3561	0.001
766.8264	0.0017
767.2966	0.0017
767.7666	0.0016
768.2365	0.0015
768.7063	0.0018
769.176	0.0016
769.6455	0.0016
770.1149	0.0015
770.5842	0.0016
771.0534	0.0017
771.5224	0.0014
771.9913	0.0015
772.4601	0.0015
772.9288	0.0015
773.3973	0.0015
773.8657	0.0015
774.334	0.0013
774.8022	0.0014
775.2703	0.0013
775.7382	0.0014
776.206	0.0013
776.6736	0.0012
777.1412	0.0013
777.6086	0.0014
778.0759	0.0013
778.5431	0.0013
779.0101	0.0012
779.4771	0.0013
779.9439	0.0013
780.4105	0.0013
780.8771	0.0012
781.3435	0.0012
781.8098	0.0011
782.276	0.0012
782.7421	0.0012
783.208	0.0012
783.6738	0.0013
784.1395	0.0012
784.6051	0.0012
785.0705	0.0012
785.5358	0.0013
786.001	0.0012
786.466	0.0012
786.931	0.0012
787.3958	0.0011
787.8605	0.0012
788.325	0.0011
788.7895	0.001
789.2538	0.0012
789.718	0.0012
790.1821	0.001
790.646	0.0011
791.1098	0.0013
791.5735	0.0009
792.0371	0.0009
792.5005	0.001
792.9639	0.0008
793.427	0.0009
793.8901	0.0011
794.3531	0.0009
794.8159	0.0009
795.2786	0.001
795.7412	0.001
796.2036	0.001
796.6659	0.0007
797.1281	0.0008
797.5902	0.0009
798.0522	0.0008
798.514	0.001
798.9757	0.001
799.4373	0.0011
799.8987	0.0009
800.3601	0.0008
800.8213	0.001
801.2824	0.0009
801.7433	0.0009
802.2042	0.0008
802.6649	0.0009
803.1255	0.001
803.5859	0.0009
804.0462	0.0009
804.5065	0.0008
804.9666	0.0008
805.4265	0.0008
805.8864	0.0009
806.3461	0.0008
806.8057	0.001
807.2651	0.0007
807.7245	0.0009
808.1837	0.0008
808.6428	0.0008
809.1017	0.0007
809.5606	0.001
810.0193	0.0011
810.4779	0.0008
810.9364	0.0009
811.3947	0.0009
811.8529	0.0006
812.311	0.0009
812.769	0.0008
813.2269	0.0009
813.6846	0.0008
814.1422	0.0009
814.5997	0.0011
815.057	0.0009
815.5143	0.0004
815.9714	0.001
816.4283	0.001
816.8852	0.0007
817.3419	0.0008
817.7985	0.0009
818.255	0.0009
818.7114	0.0009
819.1676	0.001
819.6237	0.001
820.0797	0.0009
820.5356	0.0008
820.9913	0.0009
821.4469	0.0009
821.9024	0.001
822.3578	0.001
822.813	0.001
823.2681	0.0012
823.7231	0.0011
824.178	0.0011
824.6327	0.0011
825.0873	0.0011
825.5418	0.001
825.9962	0.001
826.4504	0.0013
826.9045	0.0011
827.3585	0.0012
827.8124	0.0012
828.2662	0.0012
828.7198	0.0012
829.1733	0.0014
829.6267	0.0011
830.0799	0.0013
830.533	0.0014
830.986	0.0014
831.4389	0.0013
831.8917	0.0015
832.3443	0.0015
832.7968	0.0016
833.2492	0.0014
833.7014	0.0016
834.1535	0.0016
834.6056	0.0015
835.0574	0.0017
835.5092	0.0019
835.9608	0.0019
